name,x,y
LOCKb2014b_000298,458.8045,569.424
LOCKb2014b_000298,431.066,582.667
LOCKb2014b_000298,726.073,590.3455
LOCKb2014b_000298,613.7235,292.5005
LOCKb2014b_000298,733.4975,239.5565
LOCKb2014b_000298,489.0205,200.8975
LOCKb2014b_000298,989.828,207.27
LOCKb2014b_000298,556.619,183.1185
LOCKb2014b_000298,470.664,205.882
LOCKb2014b_000298,354.255,313.856
LOCKb2014b_000298,781.429,170.2785
LOCKb2014b_000298,594.143,296.803
LOCKb2014b_000298,534.39,190.196
LOCKb2014b_000298,857.219,204.112
LOCKb2014b_000298,839.973,210.803
